==========    1    ===========
          75373           66476             -1.064714454594870
          75373           66477             -1.063917132768945
          75373           66478    -1000000000.000000000000000
          75373           11899    -1000000000.000000000000000
          75373           11901    -1000000000.000000000000000
          75373           70623             -1.170949640114151
          75378           70624    -1000000000.000000000000000
          75378           66475             -1.128651801940553
          75378           66476    -1000000000.000000000000000
          75378           66477             -3.682723315341323
          75378           66478             -1.127601740448112
          75378           11899             -5.583668451480827
          75378           11901    -1000000000.000000000000000
          75378           70623             -1.127601740448112
          75379           70624    -1000000000.000000000000000
          75379           66475             -1.178531911863299
          75379           66476    -1000000000.000000000000000
          75379           66477    -1000000000.000000000000000
          75379           66478             -1.178532074589795
          75379           11899             -2.566426250201435
          75379           11901    -1000000000.000000000000000
          75379           70623             -1.178532074589795
==========    2    ===========
          70624           70624             -0.036186090313881
          70624           11899             -7.967531723068483
